lon,lat,score,vessel_length_m,vessel_width_m,vessel_speed_k,heading_deg,is_fishing_vessel,vessel_type,scene_id
-90.26367,-0.48649,0.856,52.0,9.5,1.5,128.2,0,passenger,S2B_MSIL1C_20260619T163309_N0512_R140_T15MZV_20260619T194210
-90.28698,-0.44132,0.866,57.2,10.1,0.8,15.4,0,pleasure,S2B_MSIL1C_20260619T163309_N0512_R140_T15MZV_20260619T194210
-90.28734,-0.43969,0.886,47.3,9.7,1.1,232.3,1,fishing,S2B_MSIL1C_20260619T163309_N0512_R140_T15MZV_20260619T194210
-89.89559,-0.5425,0.899,27.2,7.0,3.0,173.0,1,fishing,S2B_MSIL1C_20260619T163309_N0512_R140_T15MZV_20260619T194210
-90.17645,-0.77172,0.99,30.1,9.2,8.5,-84.6,0,service,S2B_MSIL1C_20260619T163309_N0512_R140_T15MZV_20260619T194210
-90.23819,-0.49048,0.993,82.2,14.3,9.3,150.0,0,cargo,S2B_MSIL1C_20260619T163309_N0512_R140_T15MZV_20260619T194210
-90.26538,-0.48234,0.996,90.0,17.0,0.6,170.8,0,cargo,S2B_MSIL1C_20260619T163309_N0512_R140_T15MZV_20260619T194210
-90.28887,-0.44285,0.996,72.5,13.3,1.0,240.9,0,pleasure,S2B_MSIL1C_20260619T163309_N0512_R140_T15MZV_20260619T194210
-90.29183,-0.44141,0.996,67.4,12.7,1.4,261.9,1,fishing,S2B_MSIL1C_20260619T163309_N0512_R140_T15MZV_20260619T194210
-90.29604,-0.44439,0.997,68.6,12.5,0.7,-51.6,0,cargo,S2B_MSIL1C_20260619T163309_N0512_R140_T15MZV_20260619T194210
-90.18992,-0.48508,0.998,106.8,17.7,10.8,-29.0,0,passenger,S2B_MSIL1C_20260619T163309_N0512_R140_T15MZV_20260619T194210
